,name,gender,text
0,Schreiner_Undine_1929.txt,f,
1,Doyle_Hound_1902.txt,m,
2,Lee_Albany_1884.txt,m,
3,Chesterton_Innocence_1911.txt,m,
4,Meredith_Marriage_1895.txt,m,
5,Bennet_Imperial_1930.txt,m,
6,Chesterton_Napoleon_1904.txt,m,
7,Gissing_Women_1893.txt,m,
8,Lytton_Novel_1853.txt,m,
9,Forster_View_1908.txt,m,
10,Stevenson_Arrow_1888.txt,m,
11,Thackeray_Virginians_1859.txt,m,
12,Bennet_Helen_1910.txt,m,
13,Lee_Brown_1884.txt,m,
14,Blackmore_Lorna_1869.txt,m,
15,Trollope_Warden_1855.txt,m,
16,Doyle_Lost_1912.txt,m,
17,Burnett_Lord_1886.txt,f,
18,Haggard_She_1887.txt,m,
19,Dickens_Expectations_1861.txt,m,
20,Cbronte_Villette_1853.txt,f,
21,Barclay_Postern_1911.txt,f,
22,Corelli_Innocent_1914.txt,f,
23,Doyle_Micah_1889.txt,m,
24,Thackeray_Pendennis_1850.txt,m,
25,Corelli_Satan_1895.txt,f,
26,Conrad_Rover_1923.txt,m,
27,Braddon_Audley_1862.txt,f,
28,Schreiner_Trooper_1897.txt,f,
29,Gissing_Warburton_1903.txt,m,
30,Lytton_What_1858.txt,m,
31,Braddon_Quest_1871.txt,f,
32,Woolf_Lighthouse_1927.txt,f,
33,Barclay_Ladies_1917.txt,f,
34,James_Roderick_1875.txt,m,
35,Conrad_Almayer_1895.txt,m,
36,Bennet_Babylon_1902.txt,m,
37,Woolf_Night_1919.txt,f,
38,Gaskell_Lovers_1863.txt,f,
39,Morris_Roots_1890.txt,m,
40,Ward_Ashe_1905.txt,m,
41,Haggard_Mines_1885.txt,m,
42,Anon_Clara_1864.txt,f,
43,Lee_Penelope_1903.txt,m,
44,Wcollins_Legacy_1889.txt,m,
45,Stevenson_Catriona_1893.txt,m,
46,Forster_Howards_1910.txt,m,
47,Ward_Harvest_1920.txt,m,
48,James_Ambassadors_1903.txt,m,
49,Hardy_Madding_1874.txt,m,
50,Corelli_Romance_1886.txt,f,
51,Cbronte_Jane_1847.txt,f,
52,Meredith_Richmond_1871.txt,m,
53,Ford_Post_1926.txt,m,
54,Lytton_Kenelm_1873.txt,m,
55,Hardy_Jude_1895.txt,m,
56,Blackmore_Erema_1877.txt,m,
57,Lawrence_Women_1920.txt,m,
58,Kipling_Kim_1901.txt,m,
59,Ford_Soldier_1915.txt,m,
60,Forster_Angels_1905.txt,m,
61,Trollope_Phineas_1869.txt,m,
62,Meredith_Feverel_1859.txt,m,
63,Dickens_Oliver_1839.txt,m,
64,Woolf_Years_1937.txt,f,
65,Trollope_Angel_1881.txt,m,
66,Blackmore_Springhaven_1887.txt,m,
67,Wcollins_Woman_1860.txt,m,
68,Morris_Water_1897.txt,m,
69,Ford_Girl_1907.txt,m,
70,Eliot_Felix_1866.txt,f,
71,Braddon_Phantom_1883.txt,f,
72,Stevenson_Treasure_1883.txt,m,
73,Burnett_Princess_1905.txt,f,
74,Eliot_Adam_1859.txt,f,
75,Gaskell_Ruth_1855.txt,f,
76,Kipling_Captains_1896.txt,m,
77,Kipling_Light_1891.txt,m,
78,Barclay_Rosary_1909.txt,f,
79,Galsworthy_Saints_1919.txt,m,
80,Haggard_Sheallan_1921.txt,m,
81,Schreiner_Farm_1883.txt,f,
82,Wcollins_Basil_1852.txt,m,
83,Galsworthy_Man_1906.txt,m,
84,Gaskell_Wives_1865.txt,f,
85,Morris_Wood_1894.txt,m,
86,Lawrence_Serpent_1926.txt,m,
87,Burnett_Garden_1911.txt,f,
88,Hardy_Tess_1891.txt,m,
89,Eliot_Daniel_1876.txt,f,
90,Cbronte_Shirley_1849.txt,f,
91,James_Tragic_1890.txt,m,
92,Conrad_Nostromo_1904.txt,m,
93,Galsworthy_River_1933.txt,m,
94,Lawrence_Peacock_1911.txt,m,
95,Chesterton_Thursday_1908.txt,m,
96,Gissing_Unclassed_1884.txt,m,
97,Dickens_Bleak_1853.txt,m,
98,Ward_Milly_1881.txt,m,
99,Thackeray_Esmond_1852.txt,m,
